age, workclass, fnlwgt, eductation, education-num, marital-status, occupation, relationship, race, sex, capital-gain, capital-loss, hours-per-week, native-country, income
50, Private, 136898, Assoc-voc, 11, Widowed, Exec-managerial, Unmarried, White, Female, 0, 0, 55, ?, <=50K.
29, Private, 140927, Bachelors, 13, Married-civ-spouse, Adm-clerical, Husband, White, Male, 0, 0, 40, United-States, <=50K.
36, Private, 114055, Assoc-voc, 11, Never-married, Prof-specialty, Unmarried, White, Female, 3325, 0, 40, United-States, <=50K.
46, Private, 114222, Assoc-voc, 11, Divorced, Exec-managerial, Not-in-family, White, Male, 0, 0, 40, United-States, <=50K.
39, Self-emp-inc, 51089, Bachelors, 13, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 30, United-States, <=50K.
46, Private, 37353, Some-college, 10, Married-civ-spouse, Handlers-cleaners, Husband, White, Male, 0, 0, 45, United-States, <=50K.
36, Local-gov, 379672, Assoc-voc, 11, Divorced, Exec-managerial, Unmarried, White, Female, 0, 0, 60, United-States, <=50K.
64, Private, 130727, HS-grad, 9, Widowed, Adm-clerical, Not-in-family, White, Female, 2174, 0, 37, United-States, <=50K.
51, Private, 172046, Bachelors, 13, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 45, United-States, >50K.
57, Private, 228764, Assoc-voc, 11, Divorced, Machine-op-inspct, Not-in-family, Black, Male, 0, 0, 40, United-States, <=50K.
21, Private, 376393, HS-grad, 9, Never-married, Adm-clerical, Own-child, White, Female, 0, 0, 25, United-States, <=50K.
53, Private, 185283, HS-grad, 9, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 45, United-States, >50K.
61, Self-emp-not-inc, 195789, Masters, 14, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 30, United-States, <=50K.
50, Private, 243115, HS-grad, 9, Married-spouse-absent, Adm-clerical, Other-relative, White, Female, 0, 0, 40, United-States, <=50K.
74, Private, 147558, Some-college, 10, Divorced, Sales, Not-in-family, White, Female, 7262, 0, 30, United-States, >50K.
22, State-gov, 62865, Some-college, 10, Never-married, Adm-clerical, Not-in-family, White, Female, 0, 0, 8, United-States, <=50K.
25, Self-emp-not-inc, 275197, HS-grad, 9, Never-married, Farming-fishing, Own-child, White, Male, 0, 0, 40, United-States, <=50K.
63, Self-emp-not-inc, 124015, Masters, 14, Separated, Prof-specialty, Not-in-family, White, Male, 0, 0, 40, United-States, >50K.
38, Self-emp-inc, 282951, Some-college, 10, Divorced, Prof-specialty, Not-in-family, White, Male, 0, 0, 40, United-States, <=50K.
46, Private, 105253, Masters, 14, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 1977, 50, United-States, >50K.
31, Private, 119164, HS-grad, 9, Never-married, Exec-managerial, Other-relative, White, Male, 0, 0, 40, ?, <=50K.
35, Self-emp-not-inc, 263081, Some-college, 10, Never-married, Other-service, Not-in-family, Black, Male, 0, 0, 84, United-States, <=50K.
54, Private, 96062, Bachelors, 13, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 40, United-States, <=50K.
50, Private, 44942, HS-grad, 9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, 0, 1848, 48, United-States, >50K.
37, Federal-gov, 127879, Some-college, 10, Never-married, Exec-managerial, Own-child, Black, Female, 0, 0, 40, United-States, <=50K.
37, Private, 109633, HS-grad, 9, Divorced, Other-service, Not-in-family, White, Female, 0, 0, 40, United-States, <=50K.
29, Private, 109404, Bachelors, 13, Never-married, Sales, Not-in-family, White, Male, 0, 0, 50, United-States, <=50K.
56, Private, 126677, HS-grad, 9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, 3103, 0, 40, United-States, >50K.
52, Private, 101113, HS-grad, 9, Married-civ-spouse, Transport-moving, Husband, White, Male, 0, 0, 66, United-States, >50K.
40, Private, 117523, Bachelors, 13, Never-married, Exec-managerial, Not-in-family, White, Female, 0, 0, 40, Columbia, <=50K.
29, Private, 183523, Masters, 14, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 1977, 40, United-States, >50K.
46, Self-emp-not-inc, 311231, HS-grad, 9, Married-civ-spouse, Farming-fishing, Husband, White, Male, 0, 0, 40, United-States, <=50K.
49, Private, 459556, Assoc-voc, 11, Married-civ-spouse, Craft-repair, Husband, Black, Male, 0, 0, 50, United-States, <=50K.
37, Private, 95551, Some-college, 10, Divorced, Sales, Not-in-family, White, Female, 0, 0, 45, United-States, <=50K.
36, Private, 126675, Bachelors, 13, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 35, United-States, <=50K.
32, Private, 200246, Some-college, 10, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 40, United-States, >50K.
53, Private, 108435, HS-grad, 9, Married-civ-spouse, Tech-support, Husband, White, Male, 0, 0, 40, Italy, <=50K.
18, Private, 141332, 11th, 7, Never-married, Sales, Own-child, Black, Male, 0, 0, 8, United-States, <=50K.
48, Private, 117310, HS-grad, 9, Married-civ-spouse, Adm-clerical, Wife, White, Female, 0, 0, 20, United-States, <=50K.
26, Private, 182380, HS-grad, 9, Divorced, Craft-repair, Not-in-family, White, Male, 0, 0, 40, United-States, <=50K.
64, ?, 226878, Masters, 14, Married-civ-spouse, ?, Wife, Black, Female, 9386, 0, 50, Jamaica, >50K.
49, Private, 123807, HS-grad, 9, Separated, Adm-clerical, Unmarried, Black, Female, 0, 0, 40, United-States, <=50K.
41, Private, 109539, HS-grad, 9, Never-married, Sales, Not-in-family, White, Female, 0, 0, 40, United-States, <=50K.
